date_key,date,financial_year,year,month,month_name,quarter,fy_month_no,is_month_end,src_report,src_year,import_batch_id,processed_at,record_quality,quality_flags
20210203,2021-02-03 00:00:00.000000,20-21,2021,2,Feb,1,11,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210204,2021-02-04 00:00:00.000000,20-21,2021,2,Feb,1,11,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210205,2021-02-05 00:00:00.000000,20-21,2021,2,Feb,1,11,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210206,2021-02-06 00:00:00.000000,20-21,2021,2,Feb,1,11,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210207,2021-02-07 00:00:00.000000,20-21,2021,2,Feb,1,11,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210208,2021-02-08 00:00:00.000000,20-21,2021,2,Feb,1,11,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210209,2021-02-09 00:00:00.000000,20-21,2021,2,Feb,1,11,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210210,2021-02-10 00:00:00.000000,20-21,2021,2,Feb,1,11,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210211,2021-02-11 00:00:00.000000,20-21,2021,2,Feb,1,11,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210212,2021-02-12 00:00:00.000000,20-21,2021,2,Feb,1,11,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210213,2021-02-13 00:00:00.000000,20-21,2021,2,Feb,1,11,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210214,2021-02-14 00:00:00.000000,20-21,2021,2,Feb,1,11,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210215,2021-02-15 00:00:00.000000,20-21,2021,2,Feb,1,11,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210216,2021-02-16 00:00:00.000000,20-21,2021,2,Feb,1,11,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210217,2021-02-17 00:00:00.000000,20-21,2021,2,Feb,1,11,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210218,2021-02-18 00:00:00.000000,20-21,2021,2,Feb,1,11,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210219,2021-02-19 00:00:00.000000,20-21,2021,2,Feb,1,11,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210220,2021-02-20 00:00:00.000000,20-21,2021,2,Feb,1,11,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210221,2021-02-21 00:00:00.000000,20-21,2021,2,Feb,1,11,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210222,2021-02-22 00:00:00.000000,20-21,2021,2,Feb,1,11,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210223,2021-02-23 00:00:00.000000,20-21,2021,2,Feb,1,11,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210224,2021-02-24 00:00:00.000000,20-21,2021,2,Feb,1,11,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210225,2021-02-25 00:00:00.000000,20-21,2021,2,Feb,1,11,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210226,2021-02-26 00:00:00.000000,20-21,2021,2,Feb,1,11,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210227,2021-02-27 00:00:00.000000,20-21,2021,2,Feb,1,11,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210228,2021-02-28 00:00:00.000000,20-21,2021,2,Feb,1,11,1,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210301,2021-03-01 00:00:00.000000,20-21,2021,3,Mar,1,12,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210302,2021-03-02 00:00:00.000000,20-21,2021,3,Mar,1,12,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210303,2021-03-03 00:00:00.000000,20-21,2021,3,Mar,1,12,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210304,2021-03-04 00:00:00.000000,20-21,2021,3,Mar,1,12,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210305,2021-03-05 00:00:00.000000,20-21,2021,3,Mar,1,12,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210306,2021-03-06 00:00:00.000000,20-21,2021,3,Mar,1,12,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210307,2021-03-07 00:00:00.000000,20-21,2021,3,Mar,1,12,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210308,2021-03-08 00:00:00.000000,20-21,2021,3,Mar,1,12,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210309,2021-03-09 00:00:00.000000,20-21,2021,3,Mar,1,12,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210310,2021-03-10 00:00:00.000000,20-21,2021,3,Mar,1,12,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210311,2021-03-11 00:00:00.000000,20-21,2021,3,Mar,1,12,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210312,2021-03-12 00:00:00.000000,20-21,2021,3,Mar,1,12,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210313,2021-03-13 00:00:00.000000,20-21,2021,3,Mar,1,12,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210314,2021-03-14 00:00:00.000000,20-21,2021,3,Mar,1,12,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210315,2021-03-15 00:00:00.000000,20-21,2021,3,Mar,1,12,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210316,2021-03-16 00:00:00.000000,20-21,2021,3,Mar,1,12,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210317,2021-03-17 00:00:00.000000,20-21,2021,3,Mar,1,12,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210318,2021-03-18 00:00:00.000000,20-21,2021,3,Mar,1,12,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20210319,2021-03-19 00:00:00.000000,20-21,2021,3,Mar,1,12,0,dim_date,20-21,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
